HARDWARE,DESCRIPTION,VERSION_NUMBER,INSTALL DATE,PREVIOUS VERSION,PREVIOUS_INSTALL_DATE
CONTROL_PANEL,CONTROL INTERFACE FOR DEVICE (v5 legacy GPIO2+MCP15; v6 MCP6+MCP14),5,28-Feb-26,,
HEATING_ELEMENT,VERSION OF THE HEATING ELEMENT IN THE SEALING MECHANISM,1,28-Feb-26,,
MAIN_CIRCUIT_BOARD,MAIN CONROL PANEL FOR LOGIC,5,28-Feb-26,,
VACUUM_FAN,FAN IN THE SEALER HARDWARE TO ADJUST INTERNAL PRESSURE,1,28-Feb-26,,
FEED_MOTOR,MOTOR DESIGN FOR THE BAG FEED MECHANISM,1,28-Feb-26,,
MECHANISM_MOTOR,MOTOR DESIGN FOR THE OPEN & CLOSE CLAMPING MECANISM,1,28-Feb-26,,
THERMISTOR,VERSION OF THE THERMISTOR IN THE HEATING ELEMENT,1,28-Feb-26,,
BATTERY,VERSION OF THE BATTERY POWER SUPPLY,1,28-Feb-26,,
FACTORY_SOFTWARE_DATE,DATE OF THE FACTORY SOFTWARE,28-Feb-26,28-Feb-26,,
SOFTWARE_VERSION_NUMBER,SOFTWARE VERSION NUMBER,2.4.3,28-Feb-26,,
